name,return,horizon,success_rate,avg_policy_latency_ms,std_policy_latency_ms,avg_power_usage_w,std_power_usage_w,idle_power_w,avg_gpu_memory_increase_mb,std_gpu_memory_increase_mb,avg_cpu_memory_increase_mb,std_cpu_memory_increase_mb
rnn_21,0.73,230.96,0.73,2.1263466842255143,1.7448055033917198,58.645753236587744,6.287451828830091,54.75556000000002,0.0008062444620406798,0.03343717289290762,0.0016416991522210588,0.023064773211160152
rnn_22,0.54,278.48,0.54,2.165257018924255,1.7801813280163161,58.713324153839864,6.221795567531359,56.99387000000002,0.0006990458032763137,0.03367996805892939,0.0019218460882099483,0.027304550642349695
rnn_23,0.62,251.12,0.62,2.1778619442262857,1.9116167631114847,58.43190390682479,5.93416063793887,56.41698,0.0005900936236013431,0.03170158156811207,0.0008684605607606452,0.016553108166850114
rnn_24,0.71,226.37,0.71,2.1621816810647276,1.8078746472472715,59.27386014612297,6.380321290664718,57.16814,0.0009126466294086169,0.03421228978189664,0.0023599479911725805,0.029908140386340102
rnn_25,0.62,255.21,0.62,2.1507010210988295,1.7679697251252036,58.1723261517617,5.940252020038247,57.165409999999994,0.000800259845732206,0.03370241776792627,0.001611193823959906,0.0223804305385003
rnn_26,0.68,229.8,0.68,2.1586144501302047,1.8059132058070166,58.793633661577815,6.05270684154825,57.185019999999994,0.0010419852697388168,0.034870702094860775,0.0034222374853703458,0.03968818065263114
rnn_27,0.62,254.66,0.62,2.157100778409393,1.8037710087736054,58.879346659359854,6.261548163108349,56.74667,0.0007498554183210039,0.033300919730087114,0.002156981210854984,0.031513583442125896
rnn_28,0.62,254.94,0.62,2.1842238660754307,1.8133781535630333,58.98794380421747,6.316771903573818,55.18966,0.0009978474634948105,0.03492407899248385,0.0028008761422421338,0.03249864009915361
rnn_29,0.87,186.96,0.87,2.153272648180966,1.7479721465152447,58.23026370208751,5.82808854777027,56.7156,0.0010124483691269976,0.034779167197194864,0.0032936255031290646,0.03879254070667566
rnn_30,0.78,211.88,0.78,2.2432675644383986,1.8501485282596588,59.52910730200502,6.492231388560838,55.01620999999998,0.0009011013081484041,0.03418148819135662,0.002833955595441326,0.03606296325775729
